Designator,Footprint,Quantity,Value,LCSC Part #
Q8,SOT-23,1,BC807,
R1,R_0805_2012Metric,1,1k,
Q1,TO-252-2,1,MJD31C,
R20,R_0805_2012Metric,1,1k,
POT1,Potentiometer_Bourns_3314G_Vertical,1,5k,
D2,D_0805_2012Metric,1,1N4148WS,
C2,CP_Elec_6.3x5.8,1,10u,
D5,SOT-23,1,BZX84C6V8,
D3,SOT-23,1,BZX84C5V6,
R5,R_0805_2012Metric,1,1k5,
TP2,TestPoint_Pad_D2.0mm,1,VREF,
Q3,SOT-23,1,BC817,
R12,R_0805_2012Metric,1,5k6,
D7,SOT-23,1,BZX84C5V6,
R17,R_0805_2012Metric,1,10k,
D4,SOT-23,1,BZX84C5V6,
Q2,SOT-23,1,BC817,
J1,R_1210_3225Metric,1,Conn_01x02_Male,
R8,R_0805_2012Metric,1,1k,
R16,R_0805_2012Metric,1,22k,
R9,R_0805_2012Metric,1,510R,
TP1,TestPoint_Pad_D2.0mm,1,FB,
R6,R_0805_2012Metric,1,510R,
C1,C_0805_2012Metric,1,4.7u,
R3,R_0805_2012Metric,1,1k,
R19,R_0805_2012Metric,1,1k,
R14,R_0805_2012Metric,1,82R,
R11,R_0805_2012Metric,1,150R,
R13,R_0805_2012Metric,1,100k,
FID1,Fiducial_1mm_Mask2mm,1,Fiducial,
R7,R_0805_2012Metric,1,1k,
D1,D_0805_2012Metric,1,1N4148WS,
R15,R_0805_2012Metric,1,10k,
Q6,TO-252-2,1,MJD31C,
FID2,Fiducial_1mm_Mask2mm,1,Fiducial,
R2,R_0805_2012Metric,1,1k,
J2,R_1210_3225Metric,1,Conn_01x02_Male,
Q5,SOT-23,1,BC817,
R4,R_0805_2012Metric,1,510R,
D6,SOT-23,1,BZX84C10,
R18,R_0805_2012Metric,1,100R,
R10,R_0805_2012Metric,1,510R,
Q7,SOT-23,1,BC807,
Q4,SOT-23,1,BC817,
